UID,Name,Age,Education,Gender,Starttime,Endtime,Duration,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,FQ1,FQ2,FQ3,FQ4,FQ5,FQ6,FQ7,FQ8,FQ9,FQ10,FQ11,FQ12
3,Sarah Noaman,21-30,Undergraduate,Female,4/25/2025 15:43,4/25/2025 15:51,0:07:21,strongly_agree,agree,disagree,strongly_disagree,disagree,disagree,disagree,disagree,agree,disagree,disagree,agree,no,Style/Brand,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
5,Jana Elhini,21-30,Undergraduate,Female,4/25/2025 15:46,4/25/2025 15:58,0:12:12,agree,strongly_agree,agree,disagree,disagree,disagree,disagree,strongly_agree,disagree,agree,agree,strongly_agree,partially,Price,In_Store,public_authorities,Legal regulations on companies and regular inspections,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"The survey was very fun to answer, the format, added graphics and the “halfway there” checkpoint where encouraging to complete it",Strongly Agree
8,FAKHER FARID,61+,Bachelor,Male,4/25/2025 15:49,4/25/2025 16:13,0:23:49,agree,agree,strongly_agree,agree,agree,agree,disagree,agree,agree,agree,agree,agree,Definitely_not,Quality,Online,public_authorities,In God we trust,Agree,Agree,Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Agree,Agree,Shorter better,Neutral
9,maya moneib,21-30,Undergraduate,Female,4/25/2025 15:50,4/25/2025 15:57,0:06:47,agree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,agree,agree,agree,agree,agree,partially,Quality,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Agree,Agree,Agree,Agree,NULL,Strongly Agree
20,Eman wahid,21-30,Undergraduate,Female,4/25/2025 15:54,4/25/2025 16:09,0:14:43,agree,strongly_agree,strongly_agree,disagree,disagree,agree,disagree,strongly_agree,strongly_agree,agree,disagree,strongly_agree,no,Quality,In_Store,consumer,Encourage and educate local brands to create ethical environmental products and lower their prices and improve awareness about environmental impacts to customers,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
21,Nada,21-30,Undergraduate,Female,4/25/2025 15:56,4/25/2025 16:14,0:18:05,agree,disagree,agree,disagree,agree,strongly_disagree,disagree,agree,agree,agree,agree,strongly_agree,Definitely_not,Quality,In_Store,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it is perfect in my own opinion. very fun as well!!,Strongly Agree
22,Tasneem,21-30,Postgraduate_student,Female,4/25/2025 15:58,4/25/2025 16:06,0:08:52,agree,strongly_agree,agree,disagree,disagree,agree,disagree,agree,agree,agree,agree,agree,no,Quality,In_Store,public_authorities,"implementing stronger and harsher standards and regulations on companies, corporations, and organizations that are implicit in fast fashion",Agree,Neutral,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Neutral,Neutral,Agree,NULL,Neutral
25,Rawan,21-30,Undergraduate,Female,4/25/2025 16:00,4/25/2025 16:05,0:05:43,agree,agree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,agree,agree,no,Price,Online,public_authorities,Consumers should stop supporting fast fashion to drive brands to be more environmental,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Neutral,Agree,Agree,Agree,NULL,Strongly Agree
28,khadija khaled,21-30,Bachelor,Female,4/25/2025 16:05,4/25/2025 16:12,0:06:35,strongly_agree,strongly_agree,agree,disagree,disagree,agree,disagree,agree,agree,disagree,disagree,agree,no,Quality,Online,public_authorities,provide better enviroments for the workers,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,the survey was entertaining to answer. the rewards were rewarding,Agree
30,Jowah,61+,Postgraudate_Degree,Male,4/25/2025 16:09,4/25/2025 16:11,0:02:49,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,agree,yes,Brand,In_Store,consumer,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
